+1.0000000000e-003 +5.0000000000e+000 +6.4494799174e-001 +5.0955042012e-001 +7.2933290222e-001 +7.2995066552e-001 +5.0000000000e+000 -3.6182908895e-002 +4.3550520083e+000 +1.3609537526e-002 +4.4904495799e+000 +1.4032654937e-002 +4.2706670978e+000 +4.2706670978e-003 +4.2700493345e+000 +4.2700493345e-003 -8.5002673781e-002 -4.0887859208e-003 -2.1978248210e-001 -4.0936838632e-003 +7.2933290222e-001 +8.4384910489e-002 +6.4494799174e-001 -1.7875306681e-002 +1.7698323447e-002 +1.7698323459e-004 +7.2995066552e-001 +2.2040024540e-001 +5.0955042012e-001 -1.8307602214e-002 +1.8126338800e-002 +1.8126341371e-004
+1.1000000000e-003 +5.0000000000e+000 +6.2116191689e-001 +4.8669921713e-001 +7.2944007844e-001 +7.3005111454e-001 +5.0000000000e+000 -3.6328442763e-002 +4.3788380831e+000 +1.3683869010e-002 +4.5133007829e+000 +1.4104064946e-002 +4.2705599216e+000 +4.2705599216e-003 +4.2699488855e+000 +4.2699488855e-003 -1.0888919764e-001 -4.0879797592e-003 -2.4274086130e-001 -4.0928414335e-003 +7.2944007844e-001 +1.0827816154e-001 +6.2116191689e-001 -1.7949567257e-002 +1.7771848769e-002 +1.7771848802e-004 +7.3005111454e-001 +2.4335189741e-001 +4.8669921713e-001 -1.8378875506e-002 +1.8196906380e-002 +1.8196912627e-004
+1.2000000000e-003 +5.0000000000e+000 +5.9810149687e-001 +4.6398317216e-001 +7.2954353389e-001 +7.3015061446e-001 +5.0000000000e+000 -3.6471291261e-002 +4.4018985031e+000 +1.3755932822e-002 +4.5360168278e+000 +1.4175052587e-002 +4.2704564661e+000 +4.2704564661e-003 +4.2698493855e+000 +4.2698493855e-003 -1.3204911759e-001 -4.0871784551e-003 -2.6556036172e-001 -4.0920253525e-003 +7.2954353389e-001 +1.3144203701e-001 +5.9810149687e-001 -1.8021542391e-002 +1.7843111277e-002 +1.7843111359e-004 +7.3015061446e-001 +2.6616744230e-001 +4.6398317216e-001 -1.8449748870e-002 +1.8267077940e-002 +1.8267093039e-004
+1.3000000000e-003 +5.0000000000e+000 +5.7624358991e-001 +4.4148859247e-001 +7.2964116455e-001 +7.3024881860e-001 +5.0000000000e+000 -3.6609696947e-002 +4.4237564101e+000 +1.3824238782e-002 +4.5585114075e+000 +1.4245348149e-002 +4.2703588354e+000 +4.2703588354e-003 +4.2697511814e+000 +4.2697511814e-003 -1.5400522869e-001 -4.0863848121e-003 -2.8815257208e-001 -4.0912525976e-003 +7.2964116455e-001 +1.5339757465e-001 +5.7624358991e-001 -1.8089729831e-002 +1.7910623594e-002 +1.7910623786e-004 +7.3024881860e-001 +2.8876022613e-001 +4.4148859247e-001 -1.8519967115e-002 +1.8336600746e-002 +1.8336636931e-004
+1.4000000000e-003 +5.0000000000e+000 +5.5419334282e-001 +4.1896219166e-001 +7.2973929079e-001 +7.3034678246e-001 +5.0000000000e+000 -3.6748802882e-002 +4.4458066572e+000 +1.3893145804e-002 +4.5810378083e+000 +1.4315743151e-002 +4.2702607092e+000 +4.2702607092e-003 +4.2696532175e+000 +4.2696532175e-003 -1.7615343964e-001 -4.0855901844e-003 -3.1077709913e-001 -4.0904733448e-003 +7.2973929079e-001 +1.7554594797e-001 +5.5419334282e-001 -1.8158523353e-002 +1.7978735988e-002 +1.7978736441e-004 +7.3034678246e-001 +3.1138459080e-001 +4.1896219166e-001 -1.8590279529e-002 +1.8406216496e-002 +1.8406303312e-004
+1.5000000000e-003 +5.0000000000e+000 +5.3119629223e-001 +3.9626717634e-001 +7.2984127548e-001 +7.3044506903e-001 +5.0000000000e+000 -3.6891390316e-002 +4.4688037078e+000 +1.3965011587e-002 +4.6037328237e+000 +1.4386665074e-002 +4.2701587245e+000 +4.2701587245e-003 +4.2695549310e+000 +4.2695549310e-003 -1.9924877680e-001 -4.0847895766e-003 -3.3357409914e-001 -4.0896607018e-003 +7.2984127548e-001 +1.9864498325e-001 +5.3119629223e-001 -1.8230299186e-002 +1.8049801163e-002 +1.8049802271e-004 +7.3044506903e-001 +3.3417789269e-001 +3.9626717634e-001 -1.8661091130e-002 +1.8476325776e-002 +1.8476535433e-004
+1.6000000000e-003 +5.0000000000e+000 +5.0807451971e-001 +3.7355297910e-001 +7.2994341262e-001 +7.3054306602e-001 +5.0000000000e+000 -3.7034427588e-002 +4.4919254803e+000 +1.4037267126e-002 +4.6264470209e+000 +1.4457646940e-002 +4.2700565874e+000 +4.2700565874e-003 +4.2694569340e+000 +4.2694569340e-003 -2.2246854631e-001 -4.0839869575e-003 -3.5639043352e-001 -4.0888440193e-003 +7.2994341262e-001 +2.2186889291e-001 +5.0807451971e-001 -1.8302466651e-002 +1.8121254083e-002 +1.8121256804e-004 +7.3054306602e-001 +3.5699008692e-001 +3.7355297910e-001 -1.8731960936e-002 +1.8546490960e-002 +1.8546997646e-004
+1.7000000000e-003 +5.0000000000e+000 +4.8562908460e-001 +3.5096497643e-001 +7.3004214493e-001 +7.3064019065e-001 +5.0000000000e+000 -3.7174961224e-002 +4.5143709154e+000 +1.4107409111e-002 +4.6490350236e+000 +1.4528234449e-002 +4.2699578551e+000 +4.2699578551e-003 +4.2693598094e+000 +4.2693598094e-003 -2.4501110605e-001 -4.0831847611e-003 -3.7907716850e-001 -4.0880518513e-003 +7.3004214493e-001 +2.4441306033e-001 +4.8562908460e-001 -1.8372499876e-002 +1.8190593872e-002 +1.8190600380e-004 +7.3064019065e-001 +3.7967521421e-001 +3.5096497643e-001 -1.8802461348e-002 +1.8616286300e-002 +1.8617504820e-004
+1.8000000000e-003 +5.0000000000e+000 +4.6347949591e-001 +3.2843385503e-001 +7.3013918189e-001 +7.3073674795e-001 +5.0000000000e+000 -3.7314394848e-002 +4.5365205041e+000 +1.4176626575e-002 +4.6715661450e+000 +1.4598644203e-002 +4.2698608181e+000 +4.2698608181e-003 +4.2692632521e+000 +4.2692632521e-003 -2.6725725204e-001 -4.0823748646e-003 -4.0170532686e-001 -4.0872706498e-003 +7.3013918189e-001 +2.6665968598e-001 +4.6347949591e-001 -1.8441591608e-002 +1.8259001440e-002 +1.8259016830e-004 +7.3073674795e-001 +4.0230289292e-001 +3.2843385503e-001 -1.8872803240e-002 +1.8685914853e-002 +1.8688838744e-004
+1.9000000000e-003 +5.0000000000e+000 +4.4091789191e-001 +3.0583099068e-001 +7.3023763554e-001 +7.3083330049e-001 +5.0000000000e+000 -3.7455338806e-002 +4.5590821081e+000 +1.4247131588e-002 +4.6941690093e+000 +1.4669278154e-002 +4.2697623645e+000 +4.2697623645e-003 +4.2691666995e+000 +4.2691666995e-003 -2.8991540858e-001 -4.0815388101e-003 -4.2440664487e-001 -4.0864752907e-003 +7.3023763554e-001 +2.8931974363e-001 +4.4091789191e-001 -1.8511957472e-002 +1.8328670398e-002 +1.8328707374e-004 +7.3083330049e-001 +4.2500230982e-001 +3.0583099068e-001 -1.8943381334e-002 +1.8755753445e-002 +1.8762788941e-004
