+3.1000000000e-005 +1.9354946805e-001 +1.9354946805e-001 -6.1681534651e-001 -1.1938428220e-001 +1.9354946805e-001 +6.1681534651e-001 +1.1938428220e-001
+3.2000000000e-005 +1.9970998051e-001 +1.9970998051e-001 -6.1605124635e-001 -1.2303158241e-001 +1.9970998051e-001 +6.1605124635e-001 +1.2303158241e-001
+3.3000000000e-005 +2.0586260877e-001 +2.0586260877e-001 -6.1526282555e-001 -1.2665961035e-001 +2.0586260877e-001 +6.1526282555e-001 +1.2665961035e-001
+3.4000000000e-005 +2.1200710992e-001 +2.1200710992e-001 -6.1445011522e-001 -1.3026779312e-001 +2.1200710992e-001 +6.1445011522e-001 +1.3026779312e-001
+3.5000000000e-005 +2.1814324140e-001 +2.1814324140e-001 -6.1361314745e-001 -1.3385556095e-001 +2.1814324140e-001 +6.1361314745e-001 +1.3385556095e-001
+3.6000000000e-005 +2.2427076095e-001 +2.2427076095e-001 -6.1275195528e-001 -1.3742234728e-001 +2.2427076095e-001 +6.1275195528e-001 +1.3742234728e-001
+3.7000000000e-005 +2.3038942668e-001 +2.3038942668e-001 -6.1186657272e-001 -1.4096758889e-001 +2.3038942668e-001 +6.1186657272e-001 +1.4096758889e-001
+3.8000000000e-005 +2.3649899702e-001 +2.3649899702e-001 -6.1095703471e-001 -1.4449072593e-001 +2.3649899702e-001 +6.1095703471e-001 +1.4449072593e-001
+3.9000000000e-005 +2.4259923080e-001 +2.4259923080e-001 -6.1002337717e-001 -1.4799120207e-001 +2.4259923080e-001 +6.1002337717e-001 +1.4799120207e-001
+4.0000000000e-005 +2.4868988716e-001 +2.4868988716e-001 -6.0906563694e-001 -1.5146846453e-001 +2.4868988716e-001 +6.0906563694e-001 +1.5146846453e-001
+4.1000000000e-005 +2.5477072568e-001 +2.5477072568e-001 -6.0808385185e-001 -1.5492196421e-001 +2.5477072568e-001 +6.0808385185e-001 +1.5492196421e-001
+4.2000000000e-005 +2.6084150629e-001 +2.6084150629e-001 -6.0707806065e-001 -1.5835115578e-001 +2.6084150629e-001 +6.0707806065e-001 +1.5835115578e-001
+4.3000000000e-005 +2.6690198932e-001 +2.6690198932e-001 -6.0604830305e-001 -1.6175549771e-001 +2.6690198932e-001 +6.0604830305e-001 +1.6175549771e-001
+4.4000000000e-005 +2.7295193552e-001 +2.7295193552e-001 -6.0499461969e-001 -1.6513445242e-001 +2.7295193552e-001 +6.0499461969e-001 +1.6513445242e-001
+4.5000000000e-005 +2.7899110604e-001 +2.7899110604e-001 -6.0391705219e-001 -1.6848748635e-001 +2.7899110604e-001 +6.0391705219e-001 +1.6848748635e-001
+4.6000000000e-005 +2.8501926247e-001 +2.8501926247e-001 -6.0281564307e-001 -1.7181406999e-001 +2.8501926247e-001 +6.0281564307e-001 +1.7181406999e-001
