"Rload=2k"
+1.0000000000e+001 +5.4242424242e-001 +9.9743531025e+000 +1.0000000000e+001 -1.2823448730e-005 -1.2823448730e-004 +5.4242424242e-001 -1.2823448730e-007 -6.9557494627e-008 +2.5646897460e-002 +1.2823448730e-005 +3.2888167467e-007 +5.4242424242e-001 -9.4319288601e+000 +9.9743531025e+000 -1.2951683217e-005 +1.2823448730e-005 +1.2823448730e-007
+1.0000000000e+001 +5.4545454545e-001 +9.9711635572e+000 +1.0000000000e+001 -1.4418221403e-005 -1.4418221403e-004 +5.4545454545e-001 -1.4418221403e-007 -7.8644844016e-008 +2.8836442806e-002 +1.4418221403e-005 +4.1577021685e-007 +5.4545454545e-001 -9.4257090117e+000 +9.9711635572e+000 -1.4562403617e-005 +1.4418221403e-005 +1.4418221403e-007
+1.0000000000e+001 +5.4848484848e-001 +9.9675773479e+000 +1.0000000000e+001 -1.6211326048e-005 -1.6211326048e-004 +5.4848484848e-001 -1.6211326048e-007 -8.8916667111e-008 +3.2422652096e-002 +1.6211326048e-005 +5.2561418446e-007 +5.4848484848e-001 -9.4190924994e+000 +9.9675773479e+000 -1.6373439308e-005 +1.6211326048e-005 +1.6211326048e-007
+1.0000000000e+001 +5.5151515152e-001 +9.9635451440e+000 +1.0000000000e+001 -1.8227427980e-005 -1.8227427980e-004 +5.5151515152e-001 -1.8227427980e-007 -1.0052702704e-007 +3.6454855961e-002 +1.8227427980e-005 +6.6447826156e-007 +5.5151515152e-001 -9.4120299925e+000 +9.9635451440e+000 -1.8409702260e-005 +1.8227427980e-005 +1.8227427980e-007
+1.0000000000e+001 +5.5454545455e-001 +9.9590114800e+000 +1.0000000000e+001 -2.0494259988e-005 -2.0494259988e-004 +5.5454545455e-001 -2.0494259988e-007 -1.1364998721e-007 +4.0988519977e-002 +2.0494259988e-005 +8.4002938493e-007 +5.5454545455e-001 -9.4044660255e+000 +9.9590114800e+000 -2.0699202588e-005 +2.0494259988e-005 +2.0494259988e-007
+1.0000000000e+001 +5.5757575758e-001 +9.9539139924e+000 +1.0000000000e+001 -2.3043003814e-005 -2.3043003814e-004 +5.5757575758e-001 -2.3043003814e-007 -1.2848220308e-007 +4.6086007627e-002 +2.3043003814e-005 +1.0619600495e-006 +5.5757575758e-001 -9.3963382348e+000 +9.9539139924e+000 -2.3273433852e-005 +2.3043003814e-005 +2.3043003814e-007
+1.0000000000e+001 +5.6060606061e-001 +9.9481825618e+000 +1.0000000000e+001 -2.5908719078e-005 -2.5908719078e-004 +5.6060606061e-001 -2.5908719078e-007 -1.4524584938e-007 +5.1817438156e-002 +2.5908719078e-005 +1.3425234485e-006 +5.6060606061e-001 -9.3875765012e+000 +9.9481825618e+000 -2.6167806269e-005 +2.5908719078e-005 +2.5908719078e-007
+1.0000000000e+001 +5.6363636364e-001 +9.9417383489e+000 +1.0000000000e+001 -2.9130825551e-005 -2.9130825551e-004 +5.6363636364e-001 -2.9130825551e-007 -1.6419192583e-007 +5.8261651102e-002 +2.9130825551e-005 +1.6972099945e-006 +5.6363636364e-001 -9.3781019853e+000 +9.9417383489e+000 -2.9422133806e-005 +2.9130825551e-005 +2.9130825551e-007
+1.0000000000e+001 +5.6666666667e-001 +9.9344927092e+000 +1.0000000000e+001 -3.2753645393e-005 -3.2753645393e-004 +5.6666666667e-001 -3.2753645393e-007 -1.8560399056e-007 +6.5507290786e-002 +3.2753645393e-005 +2.1456025731e-006 +5.6666666667e-001 -9.3678260425e+000 +9.9344927092e+000 -3.3081181847e-005 +3.2753645393e-005 +3.2753645393e-007
+1.0000000000e+001 +5.6969696970e-001 +9.9263459743e+000 +1.0000000000e+001 -3.6827012838e-005 -3.6827012838e-004 +5.6969696970e-001 -3.6827012838e-007 -2.0980237617e-007 +7.3654025675e-002 +3.6827012838e-005 +2.7124577491e-006 +5.6969696970e-001 -9.3566490046e+000 +9.9263459743e+000 -3.7195282966e-005 +3.6827012838e-005 +3.6827012838e-007
+1.0000000000e+001 +5.7272727273e-001 +9.9171860806e+000 +1.0000000000e+001 -4.1406959691e-005 -4.1406959691e-004 +5.7272727273e-001 -4.1406959691e-007 -2.3714895096e-007 +8.2813919383e-002 +4.1406959691e-005 +3.4290726217e-006 +5.7272727273e-001 -9.3444588079e+000 +9.9171860806e+000 -4.1821029288e-005 +4.1406959691e-005 +4.1406959691e-007
