"C1=1μ"
+2.3000000000e-005 +1.4401078255e-001 +1.7025137579e-003 +1.4401078255e-001 -1.4230826879e-004 +1.4230826879e-001 +1.4230826879e-004 +1.7025137579e-003 +1.4060575504e-004 +1.7025137579e-003 +1.7025137579e-006
+2.4000000000e-005 +1.5022558912e-001 +1.8490412645e-003 +1.5022558912e-001 -1.4837654786e-004 +1.4837654786e-001 +1.4837654786e-004 +1.8490412645e-003 +1.4652750659e-004 +1.8490412645e-003 +1.8490412645e-006
+2.5000000000e-005 +1.5643446504e-001 +2.0014727840e-003 +1.5643446504e-001 -1.5443299226e-004 +1.5443299226e-001 +1.5443299226e-004 +2.0014727840e-003 +1.5243151947e-004 +2.0014727840e-003 +2.0014727840e-006
+2.6000000000e-005 +1.6263716519e-001 +2.1597903684e-003 +1.6263716519e-001 -1.6047737483e-004 +1.6047737483e-001 +1.6047737483e-004 +2.1597903684e-003 +1.5831758446e-004 +2.1597903684e-003 +2.1597903684e-006
+2.7000000000e-005 +1.6883344471e-001 +2.3239758614e-003 +1.6883344471e-001 -1.6650946885e-004 +1.6650946885e-001 +1.6650946885e-004 +2.3239758614e-003 +1.6418549299e-004 +2.3239758614e-003 +2.3239758614e-006
+2.8000000000e-005 +1.7502305898e-001 +2.4940108986e-003 +1.7502305898e-001 -1.7252904808e-004 +1.7252904808e-001 +1.7252904808e-004 +2.4940108986e-003 +1.7003503718e-004 +2.4940108986e-003 +2.4940108986e-006
+2.9000000000e-005 +1.8120576363e-001 +2.6698769084e-003 +1.8120576363e-001 -1.7853588672e-004 +1.7853588672e-001 +1.7853588672e-004 +2.6698769084e-003 +1.7586600981e-004 +2.6698769084e-003 +2.6698769084e-006
+3.0000000000e-005 +1.8738131459e-001 +2.8515551128e-003 +1.8738131459e-001 -1.8452975947e-004 +1.8452975947e-001 +1.8452975947e-004 +2.8515551128e-003 +1.8167820436e-004 +2.8515551128e-003 +2.8515551128e-006
+3.1000000000e-005 +1.9354946805e-001 +3.0390265277e-003 +1.9354946805e-001 -1.9051044152e-004 +1.9051044152e-001 +1.9051044152e-004 +3.0390265277e-003 +1.8747141500e-004 +3.0390265277e-003 +3.0390265277e-006
+3.2000000000e-005 +1.9970998051e-001 +3.2322719643e-003 +1.9970998051e-001 -1.9647770855e-004 +1.9647770855e-001 +1.9647770855e-004 +3.2322719643e-003 +1.9324543659e-004 +3.2322719643e-003 +3.2322719643e-006
+3.3000000000e-005 +2.0586260877e-001 +3.4312720290e-003 +2.0586260877e-001 -2.0243133674e-004 +2.0243133674e-001 +2.0243133674e-004 +3.4312720290e-003 +1.9900006471e-004 +3.4312720290e-003 +3.4312720290e-006
+3.4000000000e-005 +2.1200710992e-001 +3.6360071247e-003 +2.1200710992e-001 -2.0837110280e-004 +2.0837110280e-001 +2.0837110280e-004 +3.6360071247e-003 +2.0473509567e-004 +3.6360071247e-003 +3.6360071247e-006
+3.5000000000e-005 +2.1814324140e-001 +3.8464574512e-003 +2.1814324140e-001 -2.1429678395e-004 +2.1429678395e-001 +2.1429678395e-004 +3.8464574512e-003 +2.1045032649e-004 +3.8464574512e-003 +3.8464574512e-006
+3.6000000000e-005 +2.2427076095e-001 +4.0626030061e-003 +2.2427076095e-001 -2.2020815794e-004 +2.2020815794e-001 +2.2020815794e-004 +4.0626030061e-003 +2.1614555494e-004 +4.0626030061e-003 +4.0626030061e-006
+3.7000000000e-005 +2.3038942668e-001 +4.2844235857e-003 +2.3038942668e-001 -2.2610500309e-004 +2.2610500309e-001 +2.2610500309e-004 +4.2844235857e-003 +2.2182057951e-004 +4.2844235857e-003 +4.2844235857e-006
+3.8000000000e-005 +2.3649899702e-001 +4.5118987851e-003 +2.3649899702e-001 -2.3198709824e-004 +2.3198709824e-001 +2.3198709824e-004 +4.5118987851e-003 +2.2747519945e-004 +4.5118987851e-003 +4.5118987851e-006
+3.9000000000e-005 +2.4259923080e-001 +4.7450079999e-003 +2.4259923080e-001 -2.3785422280e-004 +2.3785422280e-001 +2.3785422280e-004 +4.7450079999e-003 +2.3310921480e-004 +4.7450079999e-003 +4.7450079999e-006
+4.0000000000e-005 +2.4868988716e-001 +4.9837304262e-003 +2.4868988716e-001 -2.4370615674e-004 +2.4370615674e-001 +2.4370615674e-004 +4.9837304262e-003 +2.3872242631e-004 +4.9837304262e-003 +4.9837304262e-006
+4.1000000000e-005 +2.5477072568e-001 +5.2280450618e-003 +2.5477072568e-001 -2.4954268062e-004 +2.4954268062e-001 +2.4954268062e-004 +5.2280450618e-003 +2.4431463556e-004 +5.2280450618e-003 +5.2280450618e-006
+4.2000000000e-005 +2.6084150629e-001 +5.4779307067e-003 +2.6084150629e-001 -2.5536357558e-004 +2.5536357558e-001 +2.5536357558e-004 +5.4779307067e-003 +2.4988564488e-004 +5.4779307067e-003 +5.4779307067e-006
+4.3000000000e-005 +2.6690198932e-001 +5.7333659640e-003 +2.6690198932e-001 -2.6116862336e-004 +2.6116862336e-001 +2.6116862336e-004 +5.7333659640e-003 +2.5543525739e-004 +5.7333659640e-003 +5.7333659640e-006
+4.4000000000e-005 +2.7295193552e-001 +5.9943292411e-003 +2.7295193552e-001 -2.6695760628e-004 +2.6695760628e-001 +2.6695760628e-004 +5.9943292411e-003 +2.6096327704e-004 +5.9943292411e-003 +5.9943292411e-006
