"C1=1μ"
+1.6000000000e-005 +1.0036171485e-001 +8.4359709668e-004 +1.0036171485e-001 -9.9518117755e-005 -9.9878089566e-006 +9.9518117755e-002 +9.9518117755e-005 +9.9038557614e-006 +8.4359709668e-004 +9.8674520658e-005 +8.3241539143e-008 +8.4359709668e-004 +8.4359709668e-007 +7.1165606153e-010
+1.7000000000e-005 +1.0661115428e-001 +9.4831162770e-004 +1.0661115428e-001 -1.0566284265e-004 -1.1264837619e-005 +1.0566284265e-001 +1.0566284265e-004 +1.1164636316e-005 +9.4831162770e-004 +1.0471453102e-004 +9.9302007355e-008 +9.4831162770e-004 +9.4831162770e-007 +8.9929494323e-010
+1.8000000000e-005 +1.1285638487e-001 +1.0590499127e-003 +1.1285638487e-001 -1.1179733496e-004 -1.2617043062e-005 +1.1179733496e-001 +1.1179733496e-004 +1.2498644104e-005 +1.0590499127e-003 +1.1073828505e-004 +1.1727737112e-007 +1.0590499127e-003 +1.0590499127e-006 +1.1215867177e-009
+1.9000000000e-005 +1.1909716009e-001 +1.1757954819e-003 +1.1909716009e-001 -1.1792136461e-004 -1.4044099640e-005 +1.1792136461e-001 +1.1792136461e-004 +1.3905448232e-005 +1.1757954819e-003 +1.1674556913e-004 +1.3726891271e-007 +1.1757954819e-003 +1.1757954819e-006 +1.3824950152e-009
+2.0000000000e-005 +1.2533323356e-001 +1.2985316521e-003 +1.2533323356e-001 -1.2403470191e-004 -1.5545670265e-005 +1.2403470191e-001 +1.2403470191e-004 +1.5384607278e-005 +1.2985316521e-003 +1.2273617026e-004 +1.5937680194e-007 +1.2985316521e-003 +1.2985316521e-006 +1.6861844516e-009
+2.1000000000e-005 +1.3156435909e-001 +1.4272415282e-003 +1.3156435909e-001 -1.3013711756e-004 -1.7121406466e-005 +1.3013711756e-001 +1.3013711756e-004 +1.6935669368e-005 +1.4272415282e-003 +1.2870987604e-004 +1.8370008016e-007 +1.4272415282e-003 +1.4272415282e-006 +2.0370183797e-009
+2.2000000000e-005 +1.3779029068e-001 +1.5619080029e-003 +1.3779029068e-001 -1.3622838268e-004 -1.8770948449e-005 +1.3622838268e-001 +1.3622838268e-004 +1.8558172248e-005 +1.5619080029e-003 +1.3466647468e-004 +2.1033664452e-007 +1.5619080029e-003 +1.5619080029e-006 +2.4395566094e-009
+2.3000000000e-005 +1.4401078255e-001 +1.7025137579e-003 +1.4401078255e-001 -1.4230826879e-004 -2.0493925153e-005 +1.4230826879e-001 +1.4230826879e-004 +2.0251643367e-005 +1.7025137579e-003 +1.4060575504e-004 +2.3938323239e-007 +1.7025137579e-003 +1.7025137579e-006 +2.8985530958e-009
+2.4000000000e-005 +1.5022558912e-001 +1.8490412645e-003 +1.5022558912e-001 -1.4837654786e-004 -2.2289954313e-005 +1.4837654786e-001 +1.4837654786e-004 +2.2015599954e-005 +1.8490412645e-003 +1.4652750659e-004 +2.7093540607e-007 +1.8490412645e-003 +1.8490412645e-006 +3.4189535978e-009
+2.5000000000e-005 +1.5643446504e-001 +2.0014727840e-003 +1.5643446504e-001 -1.5443299226e-004 -2.4158642528e-005 +1.5443299226e-001 +1.5443299226e-004 +2.3849549097e-005 +2.0014727840e-003 +1.5243151947e-004 +3.0508753764e-007 +2.0014727840e-003 +2.0014727840e-006 +4.0058933049e-009
+2.6000000000e-005 +1.6263716519e-001 +2.1597903684e-003 +1.6263716519e-001 -1.6047737483e-004 -2.6099585320e-005 +1.6047737483e-001 +1.6047737483e-004 +2.5752987831e-005 +2.1597903684e-003 +1.5831758446e-004 +3.4193279406e-007 +2.1597903684e-003 +2.1597903684e-006 +4.6646944355e-009
+2.7000000000e-005 +1.6883344471e-001 +2.3239758614e-003 +1.6883344471e-001 -1.6650946885e-004 -2.8112367203e-005 +1.6650946885e-001 +1.6650946885e-004 +2.7725403217e-005 +2.3239758614e-003 +1.6418549299e-004 +3.8156312250e-007 +2.3239758614e-003 +2.3239758614e-006 +5.4008638044e-009
+2.8000000000e-005 +1.7502305898e-001 +2.4940108986e-003 +1.7502305898e-001 -1.7252904808e-004 -3.0196561756e-005 +1.7252904808e-001 +1.7252904808e-004 +2.9766272430e-005 +2.4940108986e-003 +1.7003503718e-004 +4.2406923586e-007 +2.4940108986e-003 +2.4940108986e-006 +6.2200903622e-009
+2.9000000000e-005 +1.8120576363e-001 +2.6698769084e-003 +1.8120576363e-001 -1.7853588672e-004 -3.2351731688e-005 +1.7853588672e-001 +1.7853588672e-004 +3.1875062846e-005 +2.6698769084e-003 +1.7586600981e-004 +4.6954059856e-007 +2.6698769084e-003 +2.6698769084e-006 +7.1282427060e-009
+3.0000000000e-005 +1.8738131459e-001 +2.8515551128e-003 +1.8738131459e-001 -1.8452975947e-004 -3.4577428910e-005 +1.8452975947e-001 +1.8452975947e-004 +3.4051232131e-005 +2.8515551128e-003 +1.8167820436e-004 +5.1806541252e-007 +2.8515551128e-003 +2.8515551128e-006 +8.1313665611e-009
+3.1000000000e-005 +1.9354946805e-001 +3.0390265277e-003 +1.9354946805e-001 -1.9051044152e-004 -3.6873194615e-005 +1.9051044152e-001 +1.9051044152e-004 +3.6294228329e-005 +3.0390265277e-003 +1.8747141500e-004 +5.6973060336e-007 +3.0390265277e-003 +3.0390265277e-006 +9.2356822363e-009
+3.2000000000e-005 +1.9970998051e-001 +3.2322719643e-003 +1.9970998051e-001 -1.9647770855e-004 -3.9238559346e-005 +1.9647770855e-001 +1.9647770855e-004 +3.8603489957e-005 +3.2322719643e-003 +1.9324543659e-004 +6.2462180691e-007 +3.2322719643e-003 +3.2322719643e-006 +1.0447582051e-008
+3.3000000000e-005 +2.0586260877e-001 +3.4312720290e-003 +2.0586260877e-001 -2.0243133674e-004 -4.1673043078e-005 +2.0243133674e-001 +2.0243133674e-004 +4.0978446095e-005 +3.4312720290e-003 +1.9900006471e-004 +6.8282335582e-007 +3.4312720290e-003 +3.4312720290e-006 +1.1773627737e-008
+3.4000000000e-005 +2.1200710992e-001 +3.6360071247e-003 +2.1200710992e-001 -2.0837110280e-004 -4.4176155295e-005 +2.0837110280e-001 +2.0837110280e-004 +4.3418516481e-005 +3.6360071247e-003 +2.0473509567e-004 +7.4441826655e-007 +3.6360071247e-003 +3.6360071247e-006 +1.3220547811e-008
+3.5000000000e-005 +2.1814324140e-001 +3.8464574512e-003 +2.1814324140e-001 -2.1429678395e-004 -4.6747395071e-005 +2.1429678395e-001 +2.1429678395e-004 +4.5923111609e-005 +3.8464574512e-003 +2.1045032649e-004 +8.0948822645e-007 +3.8464574512e-003 +3.8464574512e-006 +1.4795234924e-008
